energy;conductance
0.0122;0.832
0.0124;0.832
0.0126;0.832
0.0128;0.832
0.013;0.832
0.0132;0.832
0.0134;0.832
0.0136;0.832
0.0138;0.832
0.014;0.832
0.0142;0.832
0.0144;0.832
0.0146;0.832
0.0148;0.832
0.015;0.832
0.0152;0.832
0.0154;0.832
0.0156;0.832
0.0158;0.832
0.016;0.832
0.0162;0.832
0.0164;0.832
0.0166;0.832
0.0168;0.832
0.017;0.832
0.0172;0.832
0.0174;0.832
0.0176;0.832
0.0178;0.832
0.018;0.832
0.0182;0.832
0.0184;0.832
0.0186;0.832
0.0188;0.832
0.019;0.832
0.0192;0.832
0.0194;0.832
0.0196;0.832
0.0198;0.832
0.02;0.832
0.0202;0.832
0.0204;0.832
0.0206;0.832
0.0208;0.832
0.021;0.832
0.0212;0.832
0.0214;0.832
0.0216;0.832
0.0218;0.832
0.022;0.832
0.0222;0.832
0.0224;0.832
0.0226;0.832
0.0228;0.832
0.023;0.832
0.0232;0.832
0.0234;0.832
0.0236;0.832
0.0238;0.832
0.024;0.832
0.0242;0.832
0.0244;0.832
0.0246;0.832
0.0248;0.832
0.025;0.832
0.0252;0.832
0.0254;0.832
0.0256;0.832
0.0258;0.832
0.026;0.832
0.0262;0.832
0.0264;0.832
0.0266;0.832
0.0268;0.832
0.027;0.831
0.0272;0.831
0.0274;0.831
0.0276;0.831
0.0278;0.831
0.028;0.831
0.0282;0.831
0.0284;0.831
0.0286;0.831
0.0288;0.831
0.029;0.831
0.0292;0.831
0.0294;0.831
0.0296;0.831
0.0298;0.831
0.03;0.831
0.0302;0.831
0.0304;0.831
0.0306;0.831
0.0308;0.831
0.031;0.831
0.0312;0.831
0.0314;0.831
0.0316;0.831
0.0318;0.831
0.032;0.831
0.0322;0.831
0.0324;0.831
0.0326;0.831
0.0328;0.831
0.033;0.831
0.0332;0.831
0.0334;0.831
0.0336;0.831
0.0338;0.831
0.034;0.831
0.0342;0.831
0.0344;0.831
0.0346;0.831
0.0348;0.831
0.035;0.831
0.0352;0.831
0.0354;0.831
0.0356;0.831
0.0358;0.831
0.036;0.831
0.0362;0.831
0.0364;0.831
0.0366;0.831
0.0368;0.831
0.037;0.831
0.0372;0.831
0.0374;0.831
0.0376;0.831
0.0378;0.831
0.038;0.831
0.0382;0.831
0.0384;0.831
0.0386;0.831
0.0388;0.831
0.039;0.831
0.0392;0.831
0.0394;0.831
0.0396;0.831
0.0398;0.831
0.04;0.831
0.0402;0.831
0.0404;0.831
0.0406;0.831
0.0408;0.831
0.041;0.831
0.0412;0.831
0.0414;0.831
0.0416;0.831
0.0418;0.831
0.042;0.831
0.0422;0.831
0.0424;0.831
0.0426;0.831
0.0428;0.831
0.043;0.831
0.0432;0.831
0.0434;0.831
0.0436;0.831
0.0438;0.83
0.044;0.83
0.0442;0.83
0.0444;0.83
0.0446;0.83
0.0448;0.83
0.045;0.83
0.0452;0.83
0.0454;0.83
0.0456;0.83
0.0458;0.83
0.046;0.83
0.0462;0.83
0.0464;0.83
0.0466;0.83
0.0468;0.83
0.047;0.83
0.0472;0.83
0.0474;0.83
0.0476;0.83
0.0478;0.83
0.048;0.83
0.0482;0.83
0.0484;0.83
0.0486;0.83
0.0488;0.83
0.049;0.83
0.0492;0.83
0.0494;0.83
0.0496;0.83
0.0498;0.83
0.05;0.83
0.0502;0.83
0.0504;0.83
0.0506;0.83
0.0508;0.83
0.051;0.83
0.0512;0.83
0.0514;0.83
0.0516;0.83
0.0518;0.83
0.052;0.83
0.0522;0.83
0.0524;0.83
0.0526;0.83
0.0528;0.83
0.053;0.83
0.0532;0.83
0.0534;0.83
0.0536;0.83
0.0538;0.83
0.054;0.83
0.0542;0.83
0.0544;0.83
0.0546;0.83
0.0548;0.83
0.055;0.83
0.0552;0.83
0.0554;0.83
0.0556;0.83
0.0558;0.829
0.056;0.829
0.0562;0.829
0.0564;0.829
0.0566;0.829
0.0568;0.829
0.057;0.829
0.0572;0.829
0.0574;0.829
0.0576;0.829
0.0578;0.829
0.058;0.829
0.0582;0.829
0.0584;0.829
0.0586;0.829
0.0588;0.829
0.059;0.829
0.0592;0.829
0.0594;0.829
0.0596;0.829
0.0598;0.829
0.06;0.829
0.0602;0.829
0.0604;0.829
0.0606;0.829
0.0608;0.829
0.061;0.829
0.0612;0.829
0.0614;0.829
0.0616;0.829
0.0618;0.829
0.062;0.829
0.0622;0.829
0.0624;0.829
0.0626;0.829
0.0628;0.829
0.063;0.829
0.0632;0.829
0.0634;0.829
0.0636;0.829
0.0638;0.829
0.064;0.829
0.0642;0.829
0.0644;0.829
0.0646;0.829
0.0648;0.829
0.065;0.829
0.0652;0.829
0.0654;0.828
0.0656;0.828
0.0658;0.828
0.066;0.828
0.0662;0.828
0.0664;0.828
0.0666;0.828
0.0668;0.828
0.067;0.828
0.0672;0.828
0.0674;0.828
0.0676;0.828
0.0678;0.828
0.068;0.828
0.0682;0.828
0.0684;0.828
0.0686;0.828
0.0688;0.828
0.069;0.828
0.0692;0.828
0.0694;0.828
0.0696;0.828
0.0698;0.828
0.07;0.828
0.0702;0.828
0.0704;0.828
0.0706;0.828
0.0708;0.828
0.071;0.828
0.0712;0.828
0.0714;0.828
0.0716;0.828
0.0718;0.828
0.072;0.828
0.0722;0.828
0.0724;0.828
0.0726;0.828
0.0728;0.828
0.073;0.828
0.0732;0.828
0.0734;0.828
0.0736;0.828
0.0738;0.827
0.074;0.827
0.0742;0.827
0.0744;0.827
0.0746;0.827
0.0748;0.827
0.075;0.827
0.0752;0.827
0.0754;0.827
0.0756;0.827
0.0758;0.827
0.076;0.827
0.0762;0.827
0.0764;0.827
0.0766;0.827
0.0768;0.827
0.077;0.827
0.0772;0.827
0.0774;0.827
0.0776;0.827
0.0778;0.827
0.078;0.827
0.0782;0.827
0.0784;0.827
0.0786;0.827
0.0788;0.827
0.079;0.827
0.0792;0.827
0.0794;0.827
0.0796;0.827
0.0798;0.827
0.08;0.827
0.0802;0.827
0.0804;0.827
0.0806;0.827
0.0808;0.827
0.081;0.827
0.0812;0.827
0.0814;0.826
0.0816;0.826
0.0818;0.826
0.082;0.826
0.0822;0.826
0.0824;0.826
0.0826;0.826
0.0828;0.826
0.083;0.826
0.0832;0.826
0.0834;0.826
0.0836;0.826
0.0838;0.826
0.084;0.826
0.0842;0.826
0.0844;0.826
0.0846;0.826
0.0848;0.826
0.085;0.826
0.0852;0.826
0.0854;0.826
0.0856;0.826
0.0858;0.826
0.086;0.826
0.0862;0.826
0.0864;0.826
0.0866;0.826
0.0868;0.826
0.087;0.826
0.0872;0.826
0.0874;0.826
0.0876;0.826
0.0878;0.826
0.088;0.826
0.0882;0.825
0.0884;0.825
0.0886;0.825
0.0888;0.825
0.089;0.825
0.0892;0.825
0.0894;0.825
0.0896;0.825
0.0898;0.825
0.09;0.825
0.0902;0.825
0.0904;0.825
0.0906;0.825
0.0908;0.825
0.091;0.825
0.0912;0.825
0.0914;0.825
0.0916;0.825
0.0918;0.825
0.092;0.825
0.0922;0.825
0.0924;0.825
0.0926;0.825
0.0928;0.825
0.093;0.825
0.0932;0.825
0.0934;0.825
0.0936;0.825
0.0938;0.825
0.094;0.825
0.0942;0.825
0.0944;0.825
0.0946;0.824
0.0948;0.824
0.095;0.824
0.0952;0.824
0.0954;0.824
0.0956;0.824
0.0958;0.824
0.096;0.824
0.0962;0.824
0.0964;0.824
0.0966;0.824
0.0968;0.824
0.097;0.824
0.0972;0.824
0.0974;0.824
0.0976;0.824
0.0978;0.824
0.098;0.824
0.0982;0.824
0.0984;0.824
0.0986;0.824
0.0988;0.824
0.099;0.824
0.0992;0.824
0.0994;0.824
0.0996;0.824
0.0998;0.824
0.1;0.824
