energy;conductance
-0.0618;0.999
-0.0616;0.999
-0.0614;0.999
-0.0612;0.999
-0.061;0.999
-0.0608;0.999
-0.0606;0.999
-0.0604;0.999
-0.0602;0.998
-0.06;0.998
-0.0598;0.998
-0.0596;0.998
-0.0594;0.998
-0.0592;0.997
-0.059;0.997
-0.0588;0.997
-0.0586;0.997
-0.0584;0.996
-0.0582;0.996
-0.058;0.996
-0.0578;0.995
-0.0576;0.995
-0.0574;0.994
-0.0572;0.994
-0.057;0.993
-0.0568;0.993
-0.0566;0.992
-0.0564;0.992
-0.0562;0.991
-0.056;0.99
-0.0558;0.99
-0.0556;0.989
-0.0554;0.988
-0.0552;0.987
-0.055;0.986
-0.0548;0.985
-0.0546;0.984
-0.0544;0.983
-0.0542;0.982
-0.054;0.98
-0.0538;0.979
-0.0536;0.977
-0.0534;0.975
-0.0532;0.974
-0.053;0.972
-0.0528;0.97
-0.0526;0.967
-0.0524;0.965
-0.0522;0.962
-0.052;0.96
-0.0518;0.957
-0.0516;0.954
-0.0514;0.95
-0.0512;0.946
-0.051;0.942
-0.0508;0.938
-0.0506;0.933
-0.0504;0.928
-0.0502;0.923
-0.05;0.917
-0.0498;0.91
-0.0496;0.903
-0.0494;0.895
-0.0492;0.887
-0.049;0.878
-0.0488;0.868
-0.0486;0.857
-0.0484;0.846
-0.0482;0.833
-0.048;0.819
-0.0478;0.804
-0.0476;0.787
-0.0474;0.769
-0.0472;0.749
-0.047;0.727
-0.0468;0.704
-0.0466;0.678
-0.0464;0.65
-0.0462;0.62
-0.046;0.587
-0.0458;0.552
-0.0456;0.514
-0.0454;0.474
-0.0452;0.432
-0.045;0.388
-0.0448;0.343
-0.0446;0.297
-0.0444;0.251
-0.0442;0.205
-0.044;0.162
-0.0438;0.122
-0.0436;0.086
-0.0434;0.055
-0.0432;0.031
-0.043;0.013
-0.0428;0.003
-0.0426;0.0
-0.0424;0.004
-0.0422;0.014
-0.042;0.031
-0.0418;0.052
-0.0416;0.077
-0.0414;0.104
-0.0412;0.135
-0.041;0.166
-0.0408;0.198
-0.0406;0.23
-0.0404;0.262
-0.0402;0.294
-0.04;0.324
-0.0398;0.353
-0.0396;0.381
-0.0394;0.408
-0.0392;0.434
-0.039;0.458
-0.0388;0.481
-0.0386;0.502
-0.0384;0.522
-0.0382;0.542
-0.038;0.56
-0.0378;0.577
-0.0376;0.593
-0.0374;0.608
-0.0372;0.622
-0.037;0.635
-0.0368;0.648
-0.0366;0.66
-0.0364;0.671
-0.0362;0.682
-0.036;0.692
-0.0358;0.701
-0.0356;0.711
-0.0354;0.719
-0.0352;0.727
-0.035;0.735
-0.0348;0.742
-0.0346;0.749
-0.0344;0.756
-0.0342;0.762
-0.034;0.768
-0.0338;0.774
-0.0336;0.779
-0.0334;0.784
-0.0332;0.789
-0.033;0.794
-0.0328;0.798
-0.0326;0.803
-0.0324;0.807
-0.0322;0.811
-0.032;0.815
-0.0318;0.818
-0.0316;0.822
-0.0314;0.825
-0.0312;0.828
-0.031;0.831
-0.0308;0.834
-0.0306;0.837
-0.0304;0.84
-0.0302;0.843
-0.03;0.845
-0.0298;0.848
-0.0296;0.85
-0.0294;0.852
-0.0292;0.855
-0.029;0.857
-0.0288;0.859
-0.0286;0.861
-0.0284;0.863
-0.0282;0.865
-0.028;0.866
-0.0278;0.868
-0.0276;0.87
-0.0274;0.872
-0.0272;0.873
-0.027;0.875
-0.0268;0.876
-0.0266;0.878
-0.0264;0.879
-0.0262;0.881
-0.026;0.882
-0.0258;0.883
-0.0256;0.884
-0.0254;0.886
-0.0252;0.887
-0.025;0.888
-0.0248;0.889
-0.0246;0.89
-0.0244;0.891
-0.0242;0.892
-0.024;0.893
-0.0238;0.894
-0.0236;0.895
-0.0234;0.896
-0.0232;0.897
-0.023;0.898
-0.0228;0.899
-0.0226;0.9
-0.0224;0.901
-0.0222;0.901
-0.022;0.902
-0.0218;0.903
-0.0216;0.904
-0.0214;0.904
-0.0212;0.905
-0.021;0.906
-0.0208;0.906
-0.0206;0.907
-0.0204;0.908
-0.0202;0.908
-0.02;0.909
-0.0198;0.91
-0.0196;0.91
-0.0194;0.911
-0.0192;0.911
-0.019;0.912
-0.0188;0.912
-0.0186;0.913
-0.0184;0.914
-0.0182;0.914
-0.018;0.914
-0.0178;0.915
-0.0176;0.915
-0.0174;0.916
-0.0172;0.916
-0.017;0.917
-0.0168;0.917
-0.0166;0.918
-0.0164;0.918
-0.0162;0.918
-0.016;0.919
-0.0158;0.919
-0.0156;0.92
-0.0154;0.92
-0.0152;0.92
-0.015;0.921
-0.0148;0.921
-0.0146;0.921
-0.0144;0.922
-0.0142;0.922
-0.014;0.922
-0.0138;0.923
-0.0136;0.923
-0.0134;0.923
-0.0132;0.924
-0.013;0.924
-0.0128;0.924
-0.0126;0.924
-0.0124;0.925
-0.0122;0.925
-0.012;0.925
-0.0118;0.926
-0.0116;0.926
-0.0114;0.926
-0.0112;0.926
-0.011;0.927
-0.0108;0.927
-0.0106;0.927
-0.0104;0.927
-0.0102;0.927
-0.01;0.928
-0.0098;0.928
-0.0096;0.928
-0.0094;0.928
-0.0092;0.929
-0.009;0.929
-0.0088;0.929
-0.0086;0.929
-0.0084;0.929
-0.0082;0.93
-0.008;0.93
-0.0078;0.93
-0.0076;0.93
-0.0074;0.93
-0.0072;0.931
-0.007;0.931
-0.0068;0.931
-0.0066;0.931
-0.0064;0.931
-0.0062;0.932
-0.006;0.932
-0.0058;0.932
-0.0056;0.932
-0.0054;0.933
-0.0052;0.933
-0.005;0.933
-0.0048;0.934
-0.0046;0.934
-0.0044;0.934
-0.0042;0.935
-0.004;0.935
-0.0038;0.936
-0.0036;0.937
-0.0034;0.938
-0.0032;0.938
-0.003;0.94
-0.0028;0.941
-0.0026;0.943
-0.0024;0.946
-0.0022;0.949
-0.002;0.954
-0.0018;0.961
-0.0016;0.972
-0.0014;0.991
-0.0012;0.962
-0.001;0.317
-0.0008;0.749
-0.0006;0.822
-0.0004;0.847
-0.0002;0.857
0.0;0.86
0.0002;0.857
0.0004;0.847
0.0006;0.822
0.0008;0.749
0.001;0.317
0.0012;0.962
0.0014;0.991
0.0016;0.972
0.0018;0.961
0.002;0.954
0.0022;0.949
0.0024;0.946
0.0026;0.943
0.0028;0.941
0.003;0.94
0.0032;0.938
0.0034;0.938
0.0036;0.937
0.0038;0.936
0.004;0.935
0.0042;0.935
0.0044;0.934
0.0046;0.934
0.0048;0.934
0.005;0.933
0.0052;0.933
0.0054;0.933
0.0056;0.932
0.0058;0.932
0.006;0.932
0.0062;0.932
0.0064;0.931
0.0066;0.931
0.0068;0.931
0.007;0.931
0.0072;0.931
0.0074;0.93
0.0076;0.93
0.0078;0.93
0.008;0.93
0.0082;0.93
0.0084;0.929
0.0086;0.929
0.0088;0.929
0.009;0.929
0.0092;0.929
0.0094;0.928
0.0096;0.928
0.0098;0.928
0.01;0.928
0.0102;0.927
0.0104;0.927
0.0106;0.927
0.0108;0.927
0.011;0.927
0.0112;0.926
0.0114;0.926
0.0116;0.926
0.0118;0.926
0.012;0.925
0.0122;0.925
0.0124;0.925
0.0126;0.924
0.0128;0.924
0.013;0.924
0.0132;0.924
0.0134;0.923
0.0136;0.923
0.0138;0.923
0.014;0.922
0.0142;0.922
0.0144;0.922
0.0146;0.921
0.0148;0.921
0.015;0.921
0.0152;0.92
0.0154;0.92
0.0156;0.92
0.0158;0.919
0.016;0.919
0.0162;0.918
0.0164;0.918
0.0166;0.918
0.0168;0.917
0.017;0.917
0.0172;0.916
0.0174;0.916
0.0176;0.915
0.0178;0.915
0.018;0.914
0.0182;0.914
0.0184;0.914
0.0186;0.913
0.0188;0.912
0.019;0.912
0.0192;0.911
0.0194;0.911
0.0196;0.91
0.0198;0.91
0.02;0.909
0.0202;0.908
0.0204;0.908
0.0206;0.907
0.0208;0.906
0.021;0.906
0.0212;0.905
0.0214;0.904
0.0216;0.904
0.0218;0.903
0.022;0.902
0.0222;0.901
0.0224;0.901
0.0226;0.9
0.0228;0.899
0.023;0.898
0.0232;0.897
0.0234;0.896
0.0236;0.895
0.0238;0.894
0.024;0.893
0.0242;0.892
0.0244;0.891
0.0246;0.89
0.0248;0.889
0.025;0.888
0.0252;0.887
0.0254;0.886
0.0256;0.884
0.0258;0.883
0.026;0.882
0.0262;0.881
0.0264;0.879
0.0266;0.878
0.0268;0.876
0.027;0.875
0.0272;0.873
0.0274;0.872
0.0276;0.87
0.0278;0.868
0.028;0.866
0.0282;0.865
0.0284;0.863
0.0286;0.861
0.0288;0.859
0.029;0.857
0.0292;0.855
0.0294;0.852
0.0296;0.85
0.0298;0.848
0.03;0.845
0.0302;0.843
0.0304;0.84
0.0306;0.837
0.0308;0.834
0.031;0.831
0.0312;0.828
0.0314;0.825
0.0316;0.822
0.0318;0.818
0.032;0.815
0.0322;0.811
0.0324;0.807
0.0326;0.803
0.0328;0.798
0.033;0.794
0.0332;0.789
0.0334;0.784
0.0336;0.779
0.0338;0.774
0.034;0.768
0.0342;0.762
0.0344;0.756
0.0346;0.749
0.0348;0.742
0.035;0.735
0.0352;0.727
0.0354;0.719
0.0356;0.711
0.0358;0.701
0.036;0.692
0.0362;0.682
0.0364;0.671
0.0366;0.66
0.0368;0.648
0.037;0.635
0.0372;0.622
0.0374;0.608
0.0376;0.593
0.0378;0.577
0.038;0.56
0.0382;0.542
0.0384;0.522
0.0386;0.502
0.0388;0.481
0.039;0.458
0.0392;0.434
0.0394;0.408
0.0396;0.381
0.0398;0.353
0.04;0.324
0.0402;0.294
0.0404;0.262
0.0406;0.23
0.0408;0.198
0.041;0.166
0.0412;0.135
0.0414;0.104
0.0416;0.077
0.0418;0.052
0.042;0.031
0.0422;0.014
0.0424;0.004
0.0426;0.0
0.0428;0.003
0.043;0.013
0.0432;0.031
0.0434;0.055
0.0436;0.086
0.0438;0.122
0.044;0.162
0.0442;0.205
0.0444;0.251
0.0446;0.297
0.0448;0.343
0.045;0.388
0.0452;0.432
0.0454;0.474
0.0456;0.514
0.0458;0.552
0.046;0.587
0.0462;0.62
0.0464;0.65
0.0466;0.678
0.0468;0.704
0.047;0.727
0.0472;0.749
0.0474;0.769
0.0476;0.787
0.0478;0.804
0.048;0.819
0.0482;0.833
0.0484;0.846
0.0486;0.857
0.0488;0.868
0.049;0.878
0.0492;0.887
0.0494;0.895
0.0496;0.903
0.0498;0.91
0.05;0.917
0.0502;0.923
0.0504;0.928
0.0506;0.933
0.0508;0.938
0.051;0.942
0.0512;0.946
0.0514;0.95
0.0516;0.954
0.0518;0.957
0.052;0.96
0.0522;0.962
0.0524;0.965
0.0526;0.967
0.0528;0.97
0.053;0.972
0.0532;0.974
0.0534;0.975
0.0536;0.977
0.0538;0.979
0.054;0.98
0.0542;0.982
0.0544;0.983
0.0546;0.984
0.0548;0.985
0.055;0.986
0.0552;0.987
0.0554;0.988
0.0556;0.989
0.0558;0.99
0.056;0.99
0.0562;0.991
0.0564;0.992
0.0566;0.992
0.0568;0.993
0.057;0.993
0.0572;0.994
0.0574;0.994
0.0576;0.995
0.0578;0.995
0.058;0.996
0.0582;0.996
0.0584;0.996
0.0586;0.997
0.0588;0.997
0.059;0.997
0.0592;0.997
0.0594;0.998
0.0596;0.998
0.0598;0.998
0.06;0.998
0.0602;0.998
0.0604;0.999
0.0606;0.999
0.0608;0.999
0.061;0.999
0.0612;0.999
0.0614;0.999
0.0616;0.999
0.0618;0.999
0.062;1.0
0.0622;1.0
0.0624;1.0
0.0626;1.0
0.0628;1.0
0.063;1.0
0.0632;1.0
0.0634;1.0
0.0636;1.0
0.0638;1.0
0.064;1.0
0.0642;1.0
0.0644;1.0
0.0646;1.0
0.0648;1.0
0.065;1.0
0.0652;1.0
0.0654;1.0
0.0656;1.0
0.0658;1.0
0.066;1.0
0.0662;1.0
0.0664;1.0
0.0666;1.0
0.0668;1.0
0.067;1.0
0.0672;1.0
0.0674;1.0
0.0676;1.0
0.0678;1.0
0.068;1.0
0.0682;1.0
0.0684;1.0
0.0686;0.999
0.0688;0.999
0.069;0.999
0.0692;0.999
0.0694;0.999
0.0696;0.999
0.0698;0.999
0.07;0.999
0.0702;0.999
0.0704;0.999
0.0706;0.999
0.0708;0.999
0.071;0.999
0.0712;0.999
0.0714;0.999
0.0716;0.999
0.0718;0.999
0.072;0.999
0.0722;0.999
0.0724;0.998
0.0726;0.998
0.0728;0.998
0.073;0.998
0.0732;0.998
0.0734;0.998
0.0736;0.998
0.0738;0.998
0.074;0.998
0.0742;0.998
0.0744;0.998
0.0746;0.998
0.0748;0.998
0.075;0.998
0.0752;0.998
0.0754;0.998
0.0756;0.997
0.0758;0.997
0.076;0.997
0.0762;0.997
0.0764;0.997
0.0766;0.997
0.0768;0.997
0.077;0.997
0.0772;0.997
0.0774;0.997
0.0776;0.997
0.0778;0.997
0.078;0.997
0.0782;0.997
0.0784;0.997
0.0786;0.997
0.0788;0.996
0.079;0.996
0.0792;0.996
0.0794;0.996
0.0796;0.996
0.0798;0.996
0.08;0.996
0.0802;0.996
0.0804;0.996
0.0806;0.996
0.0808;0.996
0.081;0.996
0.0812;0.996
0.0814;0.996
0.0816;0.996
0.0818;0.996
0.082;0.995
0.0822;0.995
0.0824;0.995
0.0826;0.995
0.0828;0.995
0.083;0.995
0.0832;0.995
0.0834;0.995
0.0836;0.995
0.0838;0.995
0.084;0.995
0.0842;0.995
0.0844;0.995
0.0846;0.995
0.0848;0.995
0.085;0.995
0.0852;0.994
0.0854;0.994
0.0856;0.994
0.0858;0.994
0.086;0.994
0.0862;0.994
0.0864;0.994
0.0866;0.994
0.0868;0.994
0.087;0.994
0.0872;0.994
0.0874;0.994
0.0876;0.994
0.0878;0.994
0.088;0.994
0.0882;0.994
0.0884;0.994
0.0886;0.993
0.0888;0.993
0.089;0.993
0.0892;0.993
0.0894;0.993
0.0896;0.993
0.0898;0.993
0.09;0.993
0.0902;0.993
0.0904;0.993
0.0906;0.993
0.0908;0.993
0.091;0.993
0.0912;0.993
0.0914;0.993
0.0916;0.993
0.0918;0.993
0.092;0.993
0.0922;0.992
0.0924;0.992
0.0926;0.992
0.0928;0.992
0.093;0.992
0.0932;0.992
0.0934;0.992
0.0936;0.992
0.0938;0.992
0.094;0.992
0.0942;0.992
0.0944;0.992
0.0946;0.992
0.0948;0.992
0.095;0.992
0.0952;0.992
0.0954;0.992
0.0956;0.992
0.0958;0.992
0.096;0.991
0.0962;0.991
0.0964;0.991
0.0966;0.991
0.0968;0.991
0.097;0.991
0.0972;0.991
0.0974;0.991
0.0976;0.991
0.0978;0.991
0.098;0.991
0.0982;0.991
0.0984;0.991
0.0986;0.991
0.0988;0.991
0.099;0.991
0.0992;0.991
0.0994;0.991
0.0996;0.991
0.0998;0.991
0.1;0.99
