energy;conductance
-0.06;0.988
-0.0598;0.987
-0.0596;0.985
-0.0594;0.984
-0.0592;0.982
-0.059;0.981
-0.0588;0.979
-0.0586;0.977
-0.0584;0.975
-0.0582;0.973
-0.058;0.97
-0.0578;0.968
-0.0576;0.965
-0.0574;0.962
-0.0572;0.959
-0.057;0.956
-0.0568;0.953
-0.0566;0.95
-0.0564;0.946
-0.0562;0.942
-0.056;0.938
-0.0558;0.934
-0.0556;0.929
-0.0554;0.925
-0.0552;0.92
-0.055;0.914
-0.0548;0.909
-0.0546;0.903
-0.0544;0.897
-0.0542;0.891
-0.054;0.884
-0.0538;0.877
-0.0536;0.87
-0.0534;0.862
-0.0532;0.855
-0.053;0.846
-0.0528;0.838
-0.0526;0.829
-0.0524;0.819
-0.0522;0.809
-0.052;0.799
-0.0518;0.789
-0.0516;0.778
-0.0514;0.766
-0.0512;0.754
-0.051;0.742
-0.0508;0.729
-0.0506;0.716
-0.0504;0.703
-0.0502;0.689
-0.05;0.674
-0.0498;0.659
-0.0496;0.644
-0.0494;0.628
-0.0492;0.612
-0.049;0.596
-0.0488;0.579
-0.0486;0.562
-0.0484;0.544
-0.0482;0.526
-0.048;0.508
-0.0478;0.49
-0.0476;0.471
-0.0474;0.453
-0.0472;0.434
-0.047;0.415
-0.0468;0.396
-0.0466;0.377
-0.0464;0.358
-0.0462;0.339
-0.046;0.321
-0.0458;0.302
-0.0456;0.284
-0.0454;0.266
-0.0452;0.248
-0.045;0.231
-0.0448;0.214
-0.0446;0.197
-0.0444;0.181
-0.0442;0.166
-0.044;0.151
-0.0438;0.137
-0.0436;0.123
-0.0434;0.111
-0.0432;0.098
-0.043;0.087
-0.0428;0.076
-0.0426;0.066
-0.0424;0.057
-0.0422;0.048
-0.042;0.04
-0.0418;0.033
-0.0416;0.027
-0.0414;0.021
-0.0412;0.016
-0.041;0.012
-0.0408;0.009
-0.0406;0.006
-0.0404;0.003
-0.0402;0.002
-0.04;0.001
-0.0398;0.0
-0.0396;0.0
-0.0394;0.001
-0.0392;0.002
-0.039;0.003
-0.0388;0.005
-0.0386;0.007
-0.0384;0.01
-0.0382;0.013
-0.038;0.016
-0.0378;0.02
-0.0376;0.024
-0.0374;0.028
-0.0372;0.032
-0.037;0.037
-0.0368;0.042
-0.0366;0.047
-0.0364;0.052
-0.0362;0.057
-0.036;0.062
-0.0358;0.068
-0.0356;0.074
-0.0354;0.079
-0.0352;0.085
-0.035;0.091
-0.0348;0.097
-0.0346;0.103
-0.0344;0.108
-0.0342;0.114
-0.034;0.12
-0.0338;0.126
-0.0336;0.132
-0.0334;0.138
-0.0332;0.144
-0.033;0.15
-0.0328;0.156
-0.0326;0.162
-0.0324;0.167
-0.0322;0.173
-0.032;0.179
-0.0318;0.185
-0.0316;0.19
-0.0314;0.196
-0.0312;0.201
-0.031;0.207
-0.0308;0.212
-0.0306;0.217
-0.0304;0.223
-0.0302;0.228
-0.03;0.233
-0.0298;0.238
-0.0296;0.243
-0.0294;0.248
-0.0292;0.253
-0.029;0.258
-0.0288;0.262
-0.0286;0.267
-0.0284;0.272
-0.0282;0.276
-0.028;0.281
-0.0278;0.285
-0.0276;0.29
-0.0274;0.294
-0.0272;0.298
-0.027;0.302
-0.0268;0.306
-0.0266;0.311
-0.0264;0.315
-0.0262;0.318
-0.026;0.322
-0.0258;0.326
-0.0256;0.33
-0.0254;0.334
-0.0252;0.337
-0.025;0.341
-0.0248;0.344
-0.0246;0.348
-0.0244;0.351
-0.0242;0.355
-0.024;0.358
-0.0238;0.361
-0.0236;0.364
-0.0234;0.368
-0.0232;0.371
-0.023;0.374
-0.0228;0.377
-0.0226;0.38
-0.0224;0.383
-0.0222;0.386
-0.022;0.388
-0.0218;0.391
-0.0216;0.394
-0.0214;0.397
-0.0212;0.399
-0.021;0.402
-0.0208;0.405
-0.0206;0.407
-0.0204;0.41
-0.0202;0.412
-0.02;0.415
-0.0198;0.417
-0.0196;0.419
-0.0194;0.422
-0.0192;0.424
-0.019;0.426
-0.0188;0.428
-0.0186;0.431
-0.0184;0.433
-0.0182;0.435
-0.018;0.437
-0.0178;0.439
-0.0176;0.441
-0.0174;0.443
-0.0172;0.445
-0.017;0.447
-0.0168;0.449
-0.0166;0.451
-0.0164;0.453
-0.0162;0.455
-0.016;0.456
-0.0158;0.458
-0.0156;0.46
-0.0154;0.462
-0.0152;0.464
-0.015;0.465
-0.0148;0.467
-0.0146;0.469
-0.0144;0.47
-0.0142;0.472
-0.014;0.474
-0.0138;0.475
-0.0136;0.477
-0.0134;0.478
-0.0132;0.48
-0.013;0.482
-0.0128;0.483
-0.0126;0.485
-0.0124;0.486
-0.0122;0.488
-0.012;0.489
-0.0118;0.491
-0.0116;0.492
-0.0114;0.494
-0.0112;0.496
-0.011;0.497
-0.0108;0.499
-0.0106;0.5
-0.0104;0.502
-0.0102;0.504
-0.01;0.505
-0.0098;0.507
-0.0096;0.509
-0.0094;0.51
-0.0092;0.512
-0.009;0.514
-0.0088;0.516
-0.0086;0.518
-0.0084;0.52
-0.0082;0.522
-0.008;0.525
-0.0078;0.527
-0.0076;0.53
-0.0074;0.532
-0.0072;0.535
-0.007;0.538
-0.0068;0.542
-0.0066;0.545
-0.0064;0.549
-0.0062;0.554
-0.006;0.558
-0.0058;0.564
-0.0056;0.57
-0.0054;0.577
-0.0052;0.584
-0.005;0.593
-0.0048;0.604
-0.0046;0.616
-0.0044;0.631
-0.0042;0.65
-0.004;0.672
-0.0038;0.701
-0.0036;0.738
-0.0034;0.786
-0.0032;0.85
-0.003;0.931
-0.0028;0.998
-0.0026;0.893
-0.0024;0.413
-0.0022;0.053
-0.002;0.003
-0.0018;0.045
-0.0016;0.094
-0.0014;0.135
-0.0012;0.167
-0.001;0.191
-0.0008;0.209
-0.0006;0.222
-0.0004;0.233
-0.0002;0.252
0.0;0.057
0.0002;0.252
0.0004;0.233
0.0006;0.222
0.0008;0.209
0.001;0.191
0.0012;0.167
0.0014;0.135
0.0016;0.094
0.0018;0.045
0.002;0.003
0.0022;0.053
0.0024;0.413
0.0026;0.893
0.0028;0.998
0.003;0.931
0.0032;0.85
0.0034;0.786
0.0036;0.738
0.0038;0.701
0.004;0.672
0.0042;0.65
0.0044;0.631
0.0046;0.616
0.0048;0.604
0.005;0.593
0.0052;0.584
0.0054;0.577
0.0056;0.57
0.0058;0.564
0.006;0.558
0.0062;0.554
0.0064;0.549
0.0066;0.545
0.0068;0.542
0.007;0.538
0.0072;0.535
0.0074;0.532
0.0076;0.53
0.0078;0.527
0.008;0.525
0.0082;0.522
0.0084;0.52
0.0086;0.518
0.0088;0.516
0.009;0.514
0.0092;0.512
0.0094;0.51
0.0096;0.509
0.0098;0.507
0.01;0.505
0.0102;0.504
0.0104;0.502
0.0106;0.5
0.0108;0.499
0.011;0.497
0.0112;0.496
0.0114;0.494
0.0116;0.492
0.0118;0.491
0.012;0.489
0.0122;0.488
0.0124;0.486
0.0126;0.485
0.0128;0.483
0.013;0.482
0.0132;0.48
0.0134;0.478
0.0136;0.477
0.0138;0.475
0.014;0.474
0.0142;0.472
0.0144;0.47
0.0146;0.469
0.0148;0.467
0.015;0.465
0.0152;0.464
0.0154;0.462
0.0156;0.46
0.0158;0.458
0.016;0.456
0.0162;0.455
0.0164;0.453
0.0166;0.451
0.0168;0.449
0.017;0.447
0.0172;0.445
0.0174;0.443
0.0176;0.441
0.0178;0.439
0.018;0.437
0.0182;0.435
0.0184;0.433
0.0186;0.431
0.0188;0.428
0.019;0.426
0.0192;0.424
0.0194;0.422
0.0196;0.419
0.0198;0.417
0.02;0.415
0.0202;0.412
0.0204;0.41
0.0206;0.407
0.0208;0.405
0.021;0.402
0.0212;0.399
0.0214;0.397
0.0216;0.394
0.0218;0.391
0.022;0.388
0.0222;0.386
0.0224;0.383
0.0226;0.38
0.0228;0.377
0.023;0.374
0.0232;0.371
0.0234;0.368
0.0236;0.364
0.0238;0.361
0.024;0.358
0.0242;0.355
0.0244;0.351
0.0246;0.348
0.0248;0.344
0.025;0.341
0.0252;0.337
0.0254;0.334
0.0256;0.33
0.0258;0.326
0.026;0.322
0.0262;0.318
0.0264;0.315
0.0266;0.311
0.0268;0.306
0.027;0.302
0.0272;0.298
0.0274;0.294
0.0276;0.29
0.0278;0.285
0.028;0.281
0.0282;0.276
0.0284;0.272
0.0286;0.267
0.0288;0.262
0.029;0.258
0.0292;0.253
0.0294;0.248
0.0296;0.243
0.0298;0.238
0.03;0.233
0.0302;0.228
0.0304;0.223
0.0306;0.217
0.0308;0.212
0.031;0.207
0.0312;0.201
0.0314;0.196
0.0316;0.19
0.0318;0.185
0.032;0.179
0.0322;0.173
0.0324;0.167
0.0326;0.162
0.0328;0.156
0.033;0.15
0.0332;0.144
0.0334;0.138
0.0336;0.132
0.0338;0.126
0.034;0.12
0.0342;0.114
0.0344;0.108
0.0346;0.103
0.0348;0.097
0.035;0.091
0.0352;0.085
0.0354;0.079
0.0356;0.074
0.0358;0.068
0.036;0.062
0.0362;0.057
0.0364;0.052
0.0366;0.047
0.0368;0.042
0.037;0.037
0.0372;0.032
0.0374;0.028
0.0376;0.024
0.0378;0.02
0.038;0.016
0.0382;0.013
0.0384;0.01
0.0386;0.007
0.0388;0.005
0.039;0.003
0.0392;0.002
0.0394;0.001
0.0396;0.0
0.0398;0.0
0.04;0.001
0.0402;0.002
0.0404;0.003
0.0406;0.006
0.0408;0.009
0.041;0.012
0.0412;0.016
0.0414;0.021
0.0416;0.027
0.0418;0.033
0.042;0.04
0.0422;0.048
0.0424;0.057
0.0426;0.066
0.0428;0.076
0.043;0.087
0.0432;0.098
0.0434;0.111
0.0436;0.123
0.0438;0.137
0.044;0.151
0.0442;0.166
0.0444;0.181
0.0446;0.197
0.0448;0.214
0.045;0.231
0.0452;0.248
0.0454;0.266
0.0456;0.284
0.0458;0.302
0.046;0.321
0.0462;0.339
0.0464;0.358
0.0466;0.377
0.0468;0.396
0.047;0.415
0.0472;0.434
0.0474;0.453
0.0476;0.471
0.0478;0.49
0.048;0.508
0.0482;0.526
0.0484;0.544
0.0486;0.562
0.0488;0.579
0.049;0.596
0.0492;0.612
0.0494;0.628
0.0496;0.644
0.0498;0.659
0.05;0.674
0.0502;0.689
0.0504;0.703
0.0506;0.716
0.0508;0.729
0.051;0.742
0.0512;0.754
0.0514;0.766
0.0516;0.778
0.0518;0.789
0.052;0.799
0.0522;0.809
0.0524;0.819
0.0526;0.829
0.0528;0.838
0.053;0.846
0.0532;0.855
0.0534;0.862
0.0536;0.87
0.0538;0.877
0.054;0.884
0.0542;0.891
0.0544;0.897
0.0546;0.903
0.0548;0.909
0.055;0.914
0.0552;0.92
0.0554;0.925
0.0556;0.929
0.0558;0.934
0.056;0.938
0.0562;0.942
0.0564;0.946
0.0566;0.95
0.0568;0.953
0.057;0.956
0.0572;0.959
0.0574;0.962
0.0576;0.965
0.0578;0.968
0.058;0.97
0.0582;0.973
0.0584;0.975
0.0586;0.977
0.0588;0.979
0.059;0.981
0.0592;0.982
0.0594;0.984
0.0596;0.985
0.0598;0.987
0.06;0.988
0.0602;0.989
0.0604;0.991
0.0606;0.992
0.0608;0.993
0.061;0.993
0.0612;0.994
0.0614;0.995
0.0616;0.996
0.0618;0.996
0.062;0.997
0.0622;0.997
0.0624;0.998
0.0626;0.998
0.0628;0.999
0.063;0.999
0.0632;0.999
0.0634;0.999
0.0636;1.0
0.0638;1.0
0.064;1.0
0.0642;1.0
0.0644;1.0
0.0646;1.0
0.0648;1.0
0.065;1.0
0.0652;1.0
0.0654;1.0
0.0656;1.0
0.0658;0.999
0.066;0.999
0.0662;0.999
0.0664;0.999
0.0666;0.999
0.0668;0.998
0.067;0.998
0.0672;0.998
0.0674;0.997
0.0676;0.997
0.0678;0.997
0.068;0.996
0.0682;0.996
0.0684;0.996
0.0686;0.995
0.0688;0.995
0.069;0.994
0.0692;0.994
0.0694;0.994
0.0696;0.993
0.0698;0.993
0.07;0.992
0.0702;0.992
0.0704;0.991
0.0706;0.991
0.0708;0.99
0.071;0.99
0.0712;0.989
0.0714;0.989
0.0716;0.988
0.0718;0.988
0.072;0.987
0.0722;0.987
0.0724;0.986
0.0726;0.986
0.0728;0.985
0.073;0.985
0.0732;0.984
0.0734;0.983
0.0736;0.983
0.0738;0.982
0.074;0.982
0.0742;0.981
0.0744;0.981
0.0746;0.98
0.0748;0.98
0.075;0.979
0.0752;0.978
0.0754;0.978
0.0756;0.977
0.0758;0.977
0.076;0.976
0.0762;0.976
0.0764;0.975
0.0766;0.975
0.0768;0.974
0.077;0.973
0.0772;0.973
0.0774;0.972
0.0776;0.972
0.0778;0.971
0.078;0.971
0.0782;0.97
0.0784;0.969
0.0786;0.969
0.0788;0.968
0.079;0.968
0.0792;0.967
0.0794;0.967
0.0796;0.966
0.0798;0.966
0.08;0.965
0.0802;0.964
0.0804;0.964
0.0806;0.963
0.0808;0.963
0.081;0.962
0.0812;0.962
0.0814;0.961
0.0816;0.961
0.0818;0.96
0.082;0.96
0.0822;0.959
0.0824;0.958
0.0826;0.958
0.0828;0.957
0.083;0.957
0.0832;0.956
0.0834;0.956
0.0836;0.955
0.0838;0.955
0.084;0.954
0.0842;0.954
0.0844;0.953
0.0846;0.953
0.0848;0.952
0.085;0.952
0.0852;0.951
0.0854;0.951
0.0856;0.95
0.0858;0.95
0.086;0.949
0.0862;0.948
0.0864;0.948
0.0866;0.947
0.0868;0.947
0.087;0.946
0.0872;0.946
0.0874;0.945
0.0876;0.945
0.0878;0.944
0.088;0.944
0.0882;0.943
0.0884;0.943
0.0886;0.942
0.0888;0.942
0.089;0.941
0.0892;0.941
0.0894;0.941
0.0896;0.94
0.0898;0.94
0.09;0.939
0.0902;0.939
0.0904;0.938
0.0906;0.938
0.0908;0.937
0.091;0.937
0.0912;0.936
0.0914;0.936
0.0916;0.935
0.0918;0.935
0.092;0.934
0.0922;0.934
0.0924;0.933
0.0926;0.933
0.0928;0.932
0.093;0.932
0.0932;0.931
0.0934;0.931
0.0936;0.931
0.0938;0.93
0.094;0.93
0.0942;0.929
0.0944;0.929
0.0946;0.928
0.0948;0.928
0.095;0.927
0.0952;0.927
0.0954;0.926
0.0956;0.926
0.0958;0.926
0.096;0.925
0.0962;0.925
0.0964;0.924
0.0966;0.924
0.0968;0.923
0.097;0.923
0.0972;0.922
0.0974;0.922
0.0976;0.922
0.0978;0.921
0.098;0.921
0.0982;0.92
0.0984;0.92
0.0986;0.919
0.0988;0.919
0.099;0.919
0.0992;0.918
0.0994;0.918
0.0996;0.917
0.0998;0.917
0.1;0.916
